Handle,Command,Title,Body HTML,Sort Order,Published,Published Scope,Type,Match Column,Rule: Product Column,Rule: Relation,Rule: Condition
gant,MERGE,Gant,<p>Discover the Gant collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Gant
fendi,MERGE,Fendi,<p>Discover the Fendi collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Fendi
ferragamo,MERGE,Ferragamo,<p>Discover the Ferragamo collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Ferragamo
belstaff,MERGE,Belstaff,<p>Discover the Belstaff collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Belstaff
maison-margiela,MERGE,Maison Margiela,<p>Discover the Maison Margiela collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Maison Margiela
u-s-polo-assn,MERGE,U.S. POLO ASSN.,<p>Discover the U.S. POLO ASSN. collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,U.S. POLO ASSN.
ermanno-scervino,MERGE,Ermanno Scervino,<p>Discover the Ermanno Scervino collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Ermanno Scervino
only,MERGE,Only,<p>Discover the Only collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Only
champion,MERGE,Champion,<p>Discover the Champion collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Champion
chlo,MERGE,Chloé,<p>Discover the Chloé collection at Palace of Roman. Authentic pieces sourced through our authorised distribution partner.</p>,best-selling,TRUE,global,Smart,all,Vendor,Equals,Chloé
